id_aircraft;n-number;company_id;model_id;engine_id;aircraft_type_id;year
5065;N907AA;21;25;1;1;2017
5066;N907AN;16;43;1;1;1999
5067;N907DE;33;128;2;1;1992
5068;N907DL;33;128;1;1;1987
5069;N907DN;33;100;1;1;2018
5070;N907EV;79;118;1;1;
5071;N907FJ;60;119;1;1;2003
5072;N907JB;48;25;1;1;2013
5073;N907NK;90;27;1;1;2018
5074;N907NN;90;43;1;1;2012
5075;N907SW;79;118;1;1;2001
5076;N907WN;80;57;1;1;2008
5077;N907XJ;33;119;1;1;2007
5078;N908AA;21;25;1;1;2017
5079;N908AE;16;135;1;1;2005
5080;N908AN;16;43;1;1;1999
5081;N908DA;33;61;2;1;1995
5082;N908DE;33;128;2;1;1992
5083;N908DL;33;128;1;1;1987
5084;N908DN;33;100;1;1;
5085;N908EV;79;118;1;1;2002
5086;N908FJ;60;119;1;1;2003
5087;N908NK;90;27;1;1;2018
5088;N908NN;93;43;1;1;2012
5089;N908SW;79;118;1;1;2001
5090;N908WN;80;57;1;1;2008
5091;N908XJ;33;119;1;1;2007
5092;N909AE;16;135;1;1;2005
5093;N909AM;90;25;1;1;2017
5094;N909AN;16;43;1;1;1999
5095;N909DA;33;61;2;1;1995
5096;N909DE;33;128;2;1;1992
5097;N909DN;33;100;1;1;2018
5098;N909EV;79;118;1;1;2002
5099;N909FJ;60;119;1;1;2003
5100;N909NN;93;43;1;1;2012
5101;N909SW;79;118;1;1;2001
5102;N909WN;80;57;1;1;2008
5103;N909XJ;33;119;1;1;2007
5104;N91007;89;70;1;1;2017
5105;N910AN;16;43;1;1;1999
5106;N910AT;23;76;1;1;2001
5107;N910AU;90;25;1;1;2017
5108;N910DE;33;128;2;1;1992
5109;N910DL;33;128;1;1;1987
5110;N910DN;33;61;2;1;1995
5111;N910DU;33;100;1;1;2018
5112;N910EV;79;118;1;1;2002
5113;N910FJ;60;119;1;1;2003
5114;N910FR;88;37;1;1;2002
5115;N910NK;90;27;1;1;2018
5116;N910NN;93;43;1;1;2012
5117;N910SW;79;118;1;1;2001
5118;N910WN;80;57;1;1;2008
5119;N910XJ;33;119;1;1;2007
5120;N911DA;33;61;2;1;1995
5121;N911DE;33;128;1;1;1992
5122;N911DL;33;128;1;1;1987
